,SQUAD,SHOOT_SH,SHOOT_DIST,SEASON,PASS_TOTDIST,PASS_PRGDIST,PASS_ATT,PASS_ATT1,PASS_ATT2,PASS_ATT3,PASS_KP,PT_CRS,PT_CK,GSC_PASSLIVE,GSC_PASSLIVE1,GSC_PASSDEAD,GSC_PASSDEAD1,GSC_TO,GSC_TO1,GSC_SH,GSC_SH1,GSC_FLD,GSC_FLD1,GSC_DEF,GSC_DEF1,DA_TKL,DA_TKL1,DA_ATT,DA_BLOCKS,DA_INT,POSS_POSS,MISC_CRDY,MISC_CRDR,MISC_FLS,MISC_RECOV
32,ar Argentina,17,24.7,2019 WWC,9031,4901,915,396,250,164,11,14,1,18,2,2,0,3,0,1,0,4,2,0,0,80,28,63,38,39,35.0,3,0,29,172
33,au Australia,57,16.1,2019 WWC,33679,13009,2433,906,1081,293,46,119,23,79,9,13,1,2,1,5,2,5,0,2,0,80,43,85,45,51,61.0,2,0,46,268
34,br Brazil,53,19.4,2019 WWC,23270,10123,1821,759,667,265,37,68,24,52,9,15,1,6,1,4,0,11,3,2,0,100,33,75,55,53,51.5,7,0,59,266
35,cm Cameroon,43,22.3,2019 WWC,13754,7817,1250,439,398,321,31,51,12,39,3,6,0,12,3,5,0,1,0,2,0,85,43,78,49,55,35.3,6,0,53,254
36,ca Canada,61,19.1,2019 WWC,31335,11814,2349,988,884,336,46,88,27,78,4,11,1,8,0,7,1,6,0,2,0,91,32,55,42,41,62.8,2,0,29,257
37,cl Chile,35,21.0,2019 WWC,14540,6644,1114,442,426,209,27,43,5,52,2,5,0,4,0,2,0,2,0,1,0,67,36,72,41,43,41.7,5,0,28,202
38,cn China PR,42,18.2,2019 WWC,20552,9926,1864,818,611,312,38,63,19,59,2,9,0,2,0,5,0,4,0,0,0,78,27,73,56,41,48.3,5,0,54,302
39,eng England,84,18.2,2019 WWC,52972,20109,4020,1749,1519,496,69,132,37,110,17,18,3,6,1,7,0,10,1,2,0,135,39,87,74,70,60.1,1,1,68,451
40,fr France,94,17.3,2019 WWC,36918,14719,2671,1080,954,427,68,146,45,104,10,25,4,9,0,7,1,12,4,3,0,106,27,52,44,56,58.6,2,0,48,339
41,de Germany,77,16.9,2019 WWC,32807,13810,2528,1008,926,399,53,92,36,95,6,12,2,7,0,7,2,8,1,1,1,101,25,54,57,50,57.0,2,0,46,347
42,it Italy,56,20.4,2019 WWC,23945,11111,1865,662,733,365,35,66,16,60,6,9,2,7,2,3,1,4,2,4,1,115,49,92,77,44,43.2,4,0,57,300
43,jm Jamaica,33,20.5,2019 WWC,12279,6094,949,295,407,217,20,39,8,31,1,9,0,5,1,3,0,5,0,2,0,58,12,33,37,30,36.7,4,0,24,177
44,jp Japan,54,19.2,2019 WWC,30185,10938,2313,992,940,203,40,48,17,74,4,7,0,3,0,7,0,3,1,1,0,75,21,50,50,40,53.8,4,0,29,267
45,kr Korea Rep,42,19.4,2019 WWC,17893,7349,1381,594,526,185,30,48,11,55,2,4,0,4,0,0,0,4,0,2,0,50,22,56,32,31,51.0,4,0,32,157
46,nl Netherlands,86,17.6,2019 WWC,52567,19957,3873,1616,1434,649,65,117,19,119,6,15,5,9,0,8,3,9,4,1,0,182,71,149,85,98,56.9,0,0,71,477
47,nz New Zealand,16,16.3,2019 WWC,12283,6373,1128,466,364,228,12,22,6,18,0,2,0,2,0,3,0,0,0,1,0,60,26,59,41,21,40.0,1,0,18,179
48,ng Nigeria,30,20.9,2019 WWC,14460,6990,1137,327,443,323,21,63,15,26,0,7,0,4,2,1,0,5,0,2,0,85,32,62,53,45,35.3,6,1,49,220
49,no Norway,59,19.3,2019 WWC,28785,12826,2416,1061,873,306,48,66,27,81,7,9,0,6,1,4,0,6,2,3,0,87,34,71,69,50,51.0,1,0,50,297
50,sct Scotland,30,17.7,2019 WWC,16240,6633,1318,598,412,196,19,44,13,31,4,7,0,2,0,3,2,2,0,1,0,72,19,43,27,26,47.3,6,0,29,150
51,za South Africa,16,22.8,2019 WWC,13389,5945,1113,386,432,235,12,18,6,20,2,2,0,0,0,1,0,1,0,1,0,50,20,41,36,55,39.0,7,1,27,180
52,es Spain,69,19.5,2019 WWC,29869,11657,2172,854,848,373,48,82,22,91,3,11,0,5,1,12,1,5,1,1,0,79,27,58,38,41,60.5,1,0,53,288
53,se Sweden,104,16.0,2019 WWC,41447,17785,3268,1340,1244,507,75,124,39,114,10,19,1,15,3,14,5,9,1,6,0,131,50,87,76,66,48.7,2,0,88,480
54,th Thailand,12,22.0,2019 WWC,8920,4718,870,324,278,208,9,12,3,12,1,2,0,3,1,1,0,0,0,0,0,82,37,86,26,50,30.3,5,0,20,169
55,us USA,125,16.0,2019 WWC,48528,18946,3599,1486,1419,517,95,129,46,154,31,23,5,14,3,19,3,13,5,3,1,117,41,87,59,79,56.4,0,0,56,486
